,encoding_dim,hidden_size,num_epochs,val_loss,val_acc,val_mean_squared_error,val_binary_accuracy,val_binary_crossentropy,val_kullback_leibler_divergence,loss,acc,mean_squared_error,binary_accuracy,binary_crossentropy,kullback_leibler_divergence,mean_correlation,no_hidden_layers,elapsed_time,description
89,20.0,100.0,41.0,0.2154457663594385,0.9161587125014156,0.06360343322875296,0.9161587125014156,0.21432551196204624,162.7724297499163,0.2119361986552143,0.9170693404951704,0.06271473372513511,0.9170693404951704,0.21082173082759315,162.4285413885639,0.3849790609160541,1.0,213.5972170829773,learning_rate=0.07
90,20.0,100.0,25.0,0.216383358280878,0.91558603406469,0.06399689398537363,0.91558603406469,0.21554785017273886,159.93408284084006,0.2140999785459896,0.9161305428597312,0.06343600795171958,0.9161305428597312,0.2132734418790345,164.31473810240885,0.3839276579230208,1.0,139.6679885387421,learning_rate=0.011
91,20.0,100.0,21.0,0.2196228852539494,0.9141632921086176,0.06501182473991488,0.9141632921086176,0.21893424299053693,161.9882873035591,0.21674896355785345,0.9150349472859708,0.06424131992553582,0.9150349472859708,0.2160703415192548,166.25049628301312,0.3776685975601631,1.0,115.42660188674928,learning_rate=0.009
92,20.0,100.0,30.0,0.21288871650633812,0.9168055364014612,0.06295178727348608,0.9168055364014612,0.21195064370570185,163.3143001771283,0.21001069281294946,0.9176497270728132,0.0622162676949033,0.9176497270728132,0.2090825576251968,160.80070248300615,0.3938824239059484,1.0,172.6348741054535,learning_rate=0.11
93,20.0,100.0,24.0,0.2140202501027356,0.916370660402365,0.06333313962990812,0.916370660402365,0.21319435324356656,154.00791940409,0.21069689288255486,0.9174119465175709,0.062429894580330984,0.9174119465175709,0.20988130452131595,161.46171576048457,0.3924104359254229,1.0,135.3637421131134,learning_rate=0.01
94,20.0,100.0,24.0,0.22030399987688415,0.9137544148405642,0.06526462337792235,0.9137544148405642,0.21947089085569732,167.38106161970668,0.21761279686368726,0.9145623443333964,0.06456447693545403,0.9145623443333964,0.21679097516995388,166.8538739246429,0.3734581843237021,1.0,144.6102714538574,learning_rate=0.009
95,20.0,100.0,21.0,0.2106523686681852,0.9177894162741428,0.062254661139411076,0.9177894162741428,0.2098850482736692,158.73054274300517,0.2080375603546608,0.9185172471823482,0.061593326964857226,0.9185172471823482,0.20728195808686167,159.29435980976442,0.4007293508534895,1.0,113.81250953674316,learning_rate=0.001
96,20.0,100.0,25.0,0.21492550550571246,0.9161679075610252,0.06353168866319557,0.9161679075610252,0.21405530749431406,162.27933684759086,0.2118417658153852,0.9170520331417084,0.06274380157446124,0.9170520331417084,0.210981081247963,162.4049875952117,0.3889110708079403,1.0,141.1180715560913,learning_rate=0.002
97,20.0,100.0,33.0,0.21673216038044107,0.9154382562488104,0.06403031316825733,0.9154382562488104,0.2157959651261152,166.04203841200692,0.21382577306308392,0.9163149662490068,0.06329876403178311,0.9163149662490068,0.21289683333066,163.84811682615842,0.3835314289116719,1.0,173.00489521026608,learning_rate=0.0005
98,20.0,100.0,28.0,0.22001636496489016,0.9139400151697672,0.06511528485086485,0.9139400151697672,0.21909676960413424,169.7709215042048,0.2177689204168564,0.9144443478653498,0.06457172334759613,0.9144443478653498,0.2168573942882696,166.7753167664683,0.3738704651331734,1.0,153.2237639427185,learning_rate=0.003
