Constituency,PANO,ONSConstID,Constituency,Region,Estimated declaration time,Day,Day/Time,CON,LAB,LIBDEM,GRN,SNP,PC,BXP,UKIP,OTHER,Registered Voters,Turnout
Epping Forest,239,E14000693,Epping Forest,East,02:30,5-Friday,5-Friday 02:30,32364,10191,5387,1975,,,,,351,74305,67.65%
Gainsborough,257,E14000707,Gainsborough,East Midlands,02:30,5-Friday,5-Friday 02:30,33893,10926,5157,,,,,,1070,76343,66.86%
Harrogate & Knaresborough,293,E14000730,Harrogate & Knaresborough,Yorkshire and The Humber,02:30,5-Friday,5-Friday 02:30,29962,5480,20287,,,,,,1208,77914,73.08%
Havant,299,E14000736,Havant,South East,02:30,5-Friday,5-Friday 02:30,30051,8259,5708,1597,,,,,344,72130,63.72%
Ribble Valley,471,E14000894,Ribble Valley,North West,02:30,5-Friday,5-Friday 02:30,33346,14907,4776,1704,,,,,551,79247,69.76%
Stratford-on-Avon,543,E14000977,Stratford-on-Avon,West Midlands,02:30,5-Friday,5-Friday 02:30,33343,6222,13371,2112,,,,,0,74038,74.35%
Torbay,575,E14000999,Torbay,South West,02:30,5-Friday,5-Friday 02:30,29863,6562,12114,1239,,,,,648,75054,67.19%
Watford,604,E14001021,Watford,East,02:30,5-Friday,5-Friday 02:30,26421,21988,9323,,,,,,333,83359,69.66%
Angus,12,S14000004,Angus,Scotland,02:30,5-Friday,5-Friday 02:30,17421,2051,2482,,21216,,,,0,63952,67.50%
Dundee East,211,S14000015,Dundee East,Scotland,02:30,5-Friday,5-Friday 02:30,0,0,0,,0,,,,0,66210,0.00%
Dundee West,212,S14000016,Dundee West,Scotland,02:30,5-Friday,5-Friday 02:30,5149,10096,2468,,22355,,1271,,240,64431,64.53%
Falkirk,245,S14000028,Falkirk,Scotland,02:30,5-Friday,5-Friday 02:30,14403,6243,3990,1885,29351,,,,0,84472,66.14%
Inverclyde,330,S14000038,Inverclyde,Scotland,02:30,5-Friday,5-Friday 02:30,6265,11783,2560,,19295,,,,0,60622,65.82%
Paisley & Renfrewshire North,445,S14000052,Paisley & Renfrewshire North,Scotland,02:30,5-Friday,5-Friday 02:30,11217,11451,3661,,23353,,,,0,72007,69.00%
Paisley & Renfrewshire South,446,S14000053,Paisley & Renfrewshire South,Scotland,02:30,5-Friday,5-Friday 02:30,7571,10958,2918,,21637,,,,0,64385,66.92%
Gower,273,W07000046,Gower,Wales,02:30,5-Friday,5-Friday 02:30,18371,20208,2236,,,2288,1379,,0,61762,72.02%
Neath,408,W07000069,Neath,Wales,02:30,5-Friday,5-Friday 02:30,10283,15920,1485,728,,4495,3184,,661,56416,65.15%
Aldershot,7,E14000530,Aldershot,South East,03:00,5-Friday,5-Friday 03:00,27980,11282,6920,1750,,,,,0,72617,66.01%
Aldridge-Brownhills,8,E14000531,Aldridge-Brownhills,West Midlands,03:00,5-Friday,5-Friday 03:00,27850,8014,2371,771,,,,,336,60138,65.42%
Amber Valley,11,E14000533,Amber Valley,East Midlands,03:00,5-Friday,5-Friday 03:00,29096,12210,2873,1388,,,,,0,69976,65.12%
Ashford,20,E14000536,Ashford,South East,03:00,5-Friday,5-Friday 03:00,37270,13241,6048,2638,,,,,862,89550,67.07%
Barking,28,E14000540,Barking,London,03:00,5-Friday,5-Friday 03:00,11792,27219,1482,820,,,3186,,0,77946,57.09%
Bath,36,E14000547,Bath,South West,03:00,5-Friday,5-Friday 03:00,16097,6639,28419,,,,642,,341,67725,76.98%
Beaconsfield,39,E14000550,Beaconsfield,South East,03:00,5-Friday,5-Friday 03:00,32477,5756,,2033,,,,,837,77720,52.89%
Bedford,41,E14000552,Bedford,East,03:00,5-Friday,5-Friday 03:00,20346,20491,4608,960,,,896,,0,71579,66.08%
Birmingham Edgbaston,57,E14000560,Birmingham Edgbaston,West Midlands,03:00,5-Friday,5-Friday 03:00,15603,21217,3349,1112,,,1047,,0,68828,61.50%
Birmingham Erdington,58,E14000561,Birmingham Erdington,West Midlands,03:00,5-Friday,5-Friday 03:00,14119,17720,1301,648,,,1441,,0,66148,53.26%
Birmingham Ladywood,61,E14000564,Birmingham Ladywood,West Midlands,03:00,5-Friday,5-Friday 03:00,4773,33355,2228,931,,,831,,0,74912,56.22%
Birmingham Northfield,62,E14000565,Birmingham Northfield,West Midlands,03:00,5-Friday,5-Friday 03:00,19957,18317,1961,954,,,1655,254,0,73694,58.48%
Birmingham Yardley,65,E14000568,Birmingham Yardley,West Midlands,03:00,5-Friday,5-Friday 03:00,12720,23379,3754,579,,,2246,,0,74704,57.13%
Bishop Auckland,66,E14000569,Bishop Auckland,North East,03:00,5-Friday,5-Friday 03:00,24067,16105,2133,,,,2500,,0,68170,65.73%
Blackpool North & Cleveleys,69,E14000572,Blackpool North & Cleveleys,North West,03:00,5-Friday,5-Friday 03:00,22364,13768,1494,735,,,,,443,63691,60.93%
Blackpool South,70,E14000573,Blackpool South,North West,03:00,5-Friday,5-Friday 03:00,16247,12557,1008,563,,,2009,,368,57688,56.77%
