immigration_sentiment_factor_raw,Immigration: Bad(0) <-> Good(100){uniform},id
0,83,417
0,37,418
0,14,419
0,98,420
0,56,421
0,85,422
0,96,423
0,94,424
0,83,425
0,6,426
0,54,427
0,65,428
0,5,429
0,7,430
0,97,431
0,38,432
0,96,433
0,5,434
0,14,435
0,66,436
0,88,437
0,92,438
0,84,439
0,57,440
0,76,441
0,89,442
0,12,443
0,76,444
0,9,445
0,17,446
0,93,447
0,66,448
0,7,449
0,7,450
0,59,451
0,19,452
0,34,453
0,34,454
0,8,455
0,99,456
0,55,457
0,17,458
0,83,459
0,91,460
0,78,461
0,82,462
0,72,463
0,20,464
0,57,465
0,4,466
0,68,467
0,22,468
0,75,469
0,32,470
0,3,471
0,34,472
0,40,473
0,73,474
0,53,475
0,100,476
0,60,477
0,5,478
0,79,479
0,22,480
0,93,481
0,32,482
0,58,483
0,83,484
0,8,485
0,7,486
0,34,487
0,27,488
0,30,489
0,36,490
0,97,491
0,90,492
0,50,493
0,78,494
0,96,495
0,39,496
0,94,497
0,70,498
0,78,499
0,73,500
0,18,501
0,20,502
0,93,503
0,39,504
0,40,505
0,1,506
0,93,507
0,16,508
0,62,509
0,1,510
0,88,511
0,81,512
0,75,513
0,79,514
0,89,515
0,16,516
0,10,517
0,61,518
0,7,519
0,92,520
0,88,521
0,78,522
0,98,523
0,59,524
0,84,525
0,88,526
0,21,527
0,86,528
0,75,529
0,98,530
0,45,531
0,41,532
0,86,533
0,100,534
0,49,535
0,100,536
0,49,537
0,48,538
0,43,539
0,64,540
0,32,541
0,36,542
0,18,543
0,81,544
0,18,545
0,68,546
0,60,547
0,35,548
0,66,549
0,92,550
0,46,551
0,22,552
0,1,553
0,56,554
0,10,555
0,79,556
0,93,557
0,61,558
0,4,559
0,62,560
0,36,561
0,18,562
0,69,563
0,81,564
0,71,565
0,99,566
0,8,567
0,85,568
0,1,569
0,92,570
0,65,571
0,82,572
0,20,573
0,47,574
0,21,575
0,25,576
0,78,577
0,98,578
0,6,579
0,61,580
0,56,581
0,8,582
0,83,583
0,70,584
0,96,585
0,69,586
0,73,587
0,90,588
0,65,589
0,88,590
0,95,591
0,82,592
0,9,593
0,2,594
0,4,595
0,77,596
0,56,597
0,81,598
0,100,599
0,10,600
0,91,601
0,100,602
0,65,603
0,22,604
0,56,605
0,11,606
0,3,607
0,26,608
0,85,609
0,19,610
0,13,611
0,95,612
0,98,613
0,62,614
0,78,615
0,98,616
0,24,617
0,54,618
0,77,619
0,50,620
0,97,621
0,94,622
0,93,623
0,86,624
0,98,625
0,92,626
0,83,627
0,85,628
0,78,629
0,89,630
0,9,631
0,69,632
0,53,633
0,100,634
0,27,635
0,17,636
0,30,637
0,88,638
0,82,639
0,98,640
0,11,641
0,12,642
0,64,643
0,83,644
0,82,645
0,14,646
0,78,647
0,91,648
0,69,649
0,5,650
0,49,651
0,9,652
0,27,653
0,99,654
0,33,655
0,97,656
0,3,657
0,47,658
0,100,659
0,91,660
0,99,661
0,38,662
0,81,663
0,21,664
0,86,665
0,83,666
0,4,667
0,4,668
0,14,669
0,95,670
0,13,671
0,89,672
0,66,673
0,12,674
0,43,675
0,9,676
0,50,677
0,75,678
0,95,679
0,99,680
0,63,681
0,24,682
0,20,683
0,76,684
0,0,685
0,95,686
0,91,687
0,99,688
0,99,689
0,92,690
0,37,691
0,91,692
0,99,693
0,96,694
0,70,695
0,100,696
0,100,697
0,87,698
0,28,699
0,84,700
0,61,701
0,16,702
0,24,703
0,27,704
0,12,705
0,95,706
0,96,707
0,22,708
0,35,709
0,1,710
0,85,711
0,44,712
0,32,713
0,17,714
0,64,715
0,17,716
0,80,717
0,88,718
0,22,719
0,9,720
0,21,721
0,59,722
0,69,723
0,5,724
0,92,725
0,9,726
0,18,727
0,48,728
0,58,729
0,19,730
0,93,731
0,11,732
0,9,733
0,92,734
0,29,735
0,17,736
0,73,737
0,65,738
0,98,739
0,18,740
0,20,741
0,96,742
0,95,743
0,87,744
0,98,745
0,61,746
0,23,747
0,34,748
0,4,749
0,100,750
0,100,751
0,0,752
0,83,753
0,54,754
0,85,755
0,0,756
0,84,757
0,86,758
0,99,759
0,58,760
0,5,761
0,41,762
0,6,763
0,18,764
0,16,765
0,23,766
0,13,767
0,100,768
0,100,769
0,98,770
0,93,771
0,13,772
0,85,773
0,2,774
0,13,775
0,74,776
0,100,777
0,18,778
0,11,779
0,92,780
0,11,781
0,55,782
0,53,783
0,2,784
0,88,785
0,30,786
0,74,787
0,95,788
0,97,789
0,18,790
0,46,791
0,96,792
0,92,793
0,16,794
0,94,795
0,100,796
0,70,797
0,86,798
0,100,799
0,93,800
0,76,801
0,99,802
0,93,803
0,64,804
0,7,805
0,15,806
0,63,807
0,72,808
0,81,809
0,0,810
0,32,811
0,80,812
0,14,813
0,18,814
0,14,815
0,96,816
0,46,817
0,21,818
0,77,819
0,87,820
0,6,821
0,31,822
0,55,823
0,80,824
0,97,825
0,40,826
0,70,827
0,28,828
0,96,829
0,43,830
0,94,831
0,62,832
0,98,833
0,79,834
0,90,835
0,7,836
0,66,837
0,78,838
0,71,839
0,62,840
0,99,841
0,28,842
0,29,843
0,55,844
0,25,845
0,55,846
0,89,847
0,83,848
0,4,849
0,50,850
0,64,851
0,5,852
0,100,853
0,84,854
0,97,855
0,94,856
0,100,857
0,6,858
0,100,859
0,76,860
0,1,861
0,9,862
0,65,863
0,4,864
0,63,865
0,72,866
0,23,867
0,46,868
0,31,869
0,72,870
0,82,871
0,42,872
0,68,873
0,42,874
