Contents,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Table 1 ,"Summary: Live births (numbers, rates and percentages): administrative area of usual residence of mother, United Kingdom and constituent countries, 2016",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,"England and Wales: regions (within England), unitary authorities, counties, districts, London Boroughs, local health boards (within Wales)",,,,,,,,,,,,,,,,,,,
,"Scotland: council areas, Northern Ireland: 11 new Administrative Areas",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Area of usual residence,,Population,,,Live Births,,,,,,,,,,,,,Maternities,,
,,Numbers (thousands),,,Numbers1,,,,,,,,Rates2,,,Percentages,,Numbers,Rate,
,,Total,Female,Females aged            15 to 44,All,,,Within marriage or civil partnership,Outside marriage or civil partnership,,,,"Crude Birth Rate (CBR): all births per 1,000 population of all ages","General Fertility Rate (GFR): all live births per 1,000 women aged 15 to 44",Total Fertility Rate (TFR)3,Percentage of live births outside marriage or civil partnership,Percentage of live births under 2.5kg,Total,Maternity Rate4,
,,,,,Total,Male,Female,,Total,Joint registrations same address,Joint registrations different address,Sole registrations,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
E10000023,North Yorkshire,604.9,306.9,91.1,"5,712","2,966","2,746","3,076","2,636","2,018",388,230,9.4,62.7,1.96,46.1,6.3,"5,619",61.7,
E07000163,Craven,56.3,29.0,8.1,432,230,202,234,198,169,21,8,7.7,53.7,1.74,45.8,5.3,424,52.7,
E07000164,Hambleton,90.5,46.1,13.1,803,416,387,464,339,256,55,28,8.9,61.3,1.93,42.2,4.5,786,60.0,
E07000165,Harrogate,156.3,80.1,23.8,"1,475",756,719,903,572,430,87,55,9.4,62.1,1.98,38.8,6.2,"1,447",60.9,
E07000166,Richmondshire,53.7,24.7,7.8,555,281,274,354,201,160,24,17,10.3,71.4,2.14,36.2,6.1,548,70.5,
E07000167,Ryedale,53.5,27.3,7.7,439,244,195,233,206,161,25,20,8.2,56.9,1.80,46.9,7.5,435,56.3,
E07000168,Scarborough,107.8,55.4,16.0,"1,034",541,493,384,650,467,113,70,9.6,64.7,1.97,62.9,6.3,"1,024",64.1,
E07000169,Selby,86.7,44.2,14.7,974,498,476,504,470,375,63,32,11.2,66.1,2.00,48.3,7.8,955,64.8,
,,,,,,,,,,,,,,,,,,,,
E11000003,South Yorkshire (Met County),"1,385.0",698.7,269.3,"16,003","8,226","7,777","6,683","9,320","6,340","2,022",958,11.6,59.4,1.72,58.2,7.6,"15,859",58.9,
E08000016,Barnsley,241.2,122.1,43.4,"2,832","1,463","1,369",926,"1,906","1,351",373,182,11.7,65.3,1.92,67.3,7.6,"2,802",64.6,
E08000017,Doncaster,306.4,154.4,54.6,"3,535","1,839","1,696","1,283","2,252","1,573",462,217,11.5,64.7,1.89,63.7,8.2,"3,501",64.1,
E08000018,Rotherham,261.9,133.0,47.0,"3,104","1,618","1,486","1,223","1,881","1,264",435,182,11.9,66.1,1.96,60.6,7.5,"3,083",65.6,
E08000019,Sheffield,575.4,289.2,124.4,"6,532","3,306","3,226","3,251","3,281","2,152",752,377,11.4,52.5,1.58,50.2,7.4,"6,473",52.0,
,,,,,,,,,,,,,,,,,,,,
E11000006,West Yorkshire (Met County),"2,299.7","1,167.0",460.3,"30,119","15,483","14,636","15,376","14,743","9,658","3,387","1,698",13.1,65.4,1.91,48.9,8.0,"29,862",64.9,
E08000032,Bradford,534.3,270.7,105.4,"7,930","4,090","3,840","4,646","3,284","2,071",755,458,14.8,75.2,2.21,41.4,8.5,"7,875",74.7,
E08000033,Calderdale,209.8,106.7,37.8,"2,470","1,252","1,218","1,149","1,321",922,269,130,11.8,65.4,1.97,53.5,8.6,"2,451",64.9,
E08000034,Kirklees,437.0,220.6,83.3,"5,408","2,792","2,616","2,815","2,593","1,693",615,285,12.4,64.9,1.92,47.9,8.5,"5,361",64.3,
E08000035,Leeds,781.7,397.9,172.2,"10,250","5,272","4,978","5,169","5,081","3,173","1,302",606,13.1,59.5,1.78,49.6,7.3,"10,162",59.0,
E08000036,Wakefield,336.8,171.2,61.6,"4,061","2,077","1,984","1,597","2,464","1,799",446,219,12.1,65.9,1.93,60.7,7.6,"4,013",65.1,
,,,,,,,,,,,,,,,,,,,,
E12000004,EAST MIDLANDS,"4,724.4","2,389.4",874.6,"53,299","27,267","26,032","25,656","27,643","19,542","5,249","2,852",11.3,60.9,1.82,51.9,6.9,"52,712",60.3,
,,,,,,,,,,,,,,,,,,,,
E06000015,Derby,256.2,129.0,51.1,"3,294","1,659","1,635","1,645","1,649","1,037",373,239,12.9,64.5,1.86,50.1,8.4,"3,279",64.2,
E06000016,Leicester,348.3,174.4,80.3,"5,150","2,639","2,511","3,063","2,087","1,201",561,325,14.8,64.1,1.86,40.5,9.1,"5,099",63.5,
E06000018,Nottingham,325.3,160.8,80.4,"4,297","2,177","2,120","1,857","2,440","1,271",743,426,13.2,53.5,1.68,56.8,8.4,"4,242",52.8,
E06000017,Rutland,38.6,18.9,5.6,336,158,178,221,115,99,8,8,8.7,59.8,2.01,34.2,7.1,329,58.5,
,,,,,,,,,,,,,,,,,,,,
E10000007,Derbyshire,785.8,399.6,133.9,"7,820","3,996","3,824","3,500","4,320","3,297",662,361,10.0,58.4,1.78,55.2,6.9,"7,759",58.0,
E07000032,Amber Valley,124.6,63.4,21.3,"1,223",658,565,532,691,521,111,59,9.8,57.5,1.76,56.5,7.6,"1,215",57.1,
E07000033,Bolsover,78.1,39.5,13.7,815,406,409,314,501,381,78,42,10.4,59.4,1.77,61.5,7.5,817,59.5,
E07000034,Chesterfield,104.4,53.2,18.5,"1,069",536,533,431,638,474,101,63,10.2,57.8,1.73,59.7,6.2,"1,062",57.4,
E07000035,Derbyshire Dales,71.3,36.2,9.8,516,255,261,276,240,199,26,15,7.2,52.5,1.76,46.5,5.2,512,52.1,
E07000036,Erewash,114.9,58.6,20.6,"1,216",618,598,545,671,490,114,67,10.6,58.9,1.73,55.2,6.4,"1,207",58.5,
E07000037,High Peak,91.7,46.5,15.5,890,470,420,396,494,397,73,24,9.7,57.6,1.78,55.5,5.6,885,57.2,
E07000038,North East Derbyshire,100.4,51.4,16.0,961,497,464,457,504,397,68,39,9.6,59.9,1.85,52.4,6.0,947,59.0,
E07000039,South Derbyshire,100.3,50.7,18.4,"1,130",556,574,549,581,438,91,52,11.3,61.5,1.86,51.4,9.4,"1,114",60.6,
,,,,,,,,,,,,,,,,,,,,
