Economic: Left(0) <-> Right(200){uniform},Social: Liberalism(0) <-> Conservatism(200){uniform},Economic: Left <-> Right{gaussian-ish},Social: Liberalism <-> Conservatism{gaussian-ish},id
69,45,-0.3828272049159086,-0.8249594668629465,30208
58,188,-0.546402330922265,1.5316830585876868,30209
56,160,-0.5683469041321463,0.8923939636621829,30210
181,30,1.323022648641814,-1.1261998532524535,30211
151,34,0.6860955591786371,-1.0331436309885815,30212
54,115,-0.6082246860831724,0.24275615548986887,30215
59,16,-0.53193609199706,-1.481290696195878,30217
24,64,-1.2068547417278794,-0.49082112683744694,30218
100,72,0.004520082477288187,-0.37849133937065293,30219
27,155,-1.1414791047460418,0.7953366384182694,30221
14,15,-1.5305791183494672,-1.4876556920591157,30222
123,93,0.28597402295451174,-0.06691880028305366,30223
170,20,1.0529359469910176,-1.366692362405047,30224
166,95,0.9533955317931629,-0.041749329320544995,30225
142,166,0.5527139583092575,0.9850553793385887,30226
70,113,-0.36853962766488285,0.20464805533144723,30229
159,38,0.824247630167189,-0.9439661939862833,30230
121,125,0.2704611463727528,0.36471571658699553,30231
6,155,-1.9096522491262493,0.807831477233728,30232
5,1,-1.9524773054864333,-2.2072000478095206,30233
175,102,1.158137221665437,0.05920330843199372,30234
189,95,1.60215544640387,-0.04164759097693067,30235
181,151,1.3319365010595399,0.7326365594178371,30236
123,9,0.29598071003773213,-1.692692647708065,30237
6,14,-1.911525236427853,-1.536682488443863,30238
13,28,-1.5472606452723379,-1.1660036038892156,30239
13,175,-1.5483112622061683,1.1739026385578017,30240
93,130,-0.0825477030424612,0.436127957587267,30241
51,8,-0.6563558629815792,-1.7542323425806838,30242
61,75,-0.4979991818651978,-0.3297657987568834,30243
27,10,-1.1441635454985206,-1.6795736976296316,30244
129,104,0.3638288749014075,0.09192653455715266,30245
180,160,1.2927245401158751,0.8861609963554666,30246
146,100,0.616581711323407,0.022793266899541736,30247
18,131,-1.372407918575812,0.45357438440784753,30248
160,89,0.8508006559847738,-0.11925850069769434,30249
11,125,-1.6558342014802407,0.37313918813071145,30250
24,147,-1.2220940210434452,0.6698073894667621,30251
179,34,1.2661842752269568,-1.040280866072726,30252
53,46,-0.6260529926598604,-0.7932639113307074,30253
5,138,-1.9278849362172696,0.5484147723464136,30254
2,0,-2.1634307392474206,-2.3560901957332367,30255
179,156,1.2674360111553633,0.821613818805414,30256
67,188,-0.4196913180034877,1.5440235123751935,30257
70,86,-0.37646134997937164,-0.1600922813570166,30258
187,102,1.5415228401584178,0.06203388775080247,30259
119,46,0.2459816084095475,-0.7974410863419443,30260
176,72,1.1750658276728922,-0.3763225658364959,30261
198,110,2.2450578966717702,0.1712965597651321,30262
183,148,1.3819404038792755,0.6839612406586602,30263
16,161,-1.4489187675683333,0.8995511560041525,30264
82,11,-0.20887941498184953,-1.6278889970220969,30265
156,61,0.76389468783206,-0.5329232274459157,30266
135,99,0.4441308948313087,0.015260893556667487,30267
106,76,0.07729020437505355,-0.30808319385994304,30268
97,125,-0.022422181426337503,0.36441467338666195,30269
46,39,-0.7313789085869318,-0.9353212676841741,30270
19,23,-1.3421594914286366,-1.2719982818628337,30271
115,76,0.19070372129210228,-0.30607099174935104,30272
118,22,0.22904182474703663,-1.2932157506159736,30273
22,21,-1.2798781758434867,-1.343326001430399,30274
11,4,-1.6203017380283964,-1.9227117556834417,30275
118,7,0.23464743408610955,-1.7736085309469871,30276
29,56,-1.0739284636143596,-0.626745756193612,30277
71,3,-0.3602678520908671,-1.9862971559920775,30278
67,37,-0.41296050314065263,-0.970768231338955,30279
9,120,-1.7388246569576973,0.3073789951352801,30280
12,97,-1.61298921611837,-0.009316476084098116,30281
111,37,0.135358119587488,-0.9767315257718294,30283
69,8,-0.38822486268477363,-1.729028931411606,30285
126,108,0.32824245145256786,0.14736498686054084,30286
153,85,0.7224211047804728,-0.176303233912107,30287
94,45,-0.07114784783381789,-0.8203728859078094,30288
4,112,-2.012585501110857,0.19131032959432148,30290
154,155,0.7432846932934664,0.8008765496779171,30291
104,164,0.0586705151727833,0.9638290632944656,30292
155,102,0.7472484633098374,0.05693596476231808,30294
145,94,0.5976702806017442,-0.058041377021487185,30295
30,10,-1.0530400615664768,-1.6587266094608797,30296
92,86,-0.09478341720227887,-0.15945822087931055,30297
