"","i","code","constituency","Con","Lab","LD","Brexit","Green","SNP","PC","Other"
"325","325","E14000854","North Warwickshire","59","31"," 7"," 0"," 4"," 0"," 0"," 0"
"326","326","E14000855","North West Cambridgeshire","58","26","12"," 0"," 5"," 0"," 0"," 0"
"327","327","E14000856","North West Durham","34","43"," 8","12"," 3"," 0"," 0"," 2"
"328","328","E14000857","North West Hampshire","60","17","18"," 0"," 4"," 0"," 0"," 0"
"329","329","E14000858","North West Leicestershire","55","29","10"," 0"," 4"," 0"," 0"," 2"
"330","330","E14000859","North West Norfolk","61","26"," 8"," 0"," 5"," 0"," 0"," 0"
"331","331","E14000860","North Wiltshire","58","10","28"," 0"," 4"," 0"," 0"," 0"
"332","332","E14000861","Northampton North","50","39"," 8"," 0"," 3"," 0"," 0"," 0"
"333","333","E14000862","Northampton South","53","35"," 8"," 0"," 3"," 0"," 0"," 0"
"334","334","E14000863","Norwich North","47","38"," 9"," 0"," 4"," 0"," 0"," 2"
"335","335","E14000864","Norwich South","28","52","10"," 6"," 5"," 0"," 0"," 0"
"336","336","E14000865","Nottingham East","20","59"," 5"," 7"," 3"," 0"," 0"," 6"
"337","337","E14000866","Nottingham North","29","49"," 6","13"," 4"," 0"," 0"," 0"
"338","338","E14000867","Nottingham South","30","50"," 8"," 7"," 5"," 0"," 0"," 0"
"339","339","E14000868","Nuneaton","58","33"," 6"," 0"," 3"," 0"," 0"," 0"
"340","340","E14000869","Old Bexley and Sidcup","62","23","10"," 0"," 4"," 0"," 0"," 2"
"341","341","E14000870","Oldham East and Saddleworth","35","42"," 7","12"," 2"," 0"," 0"," 2"
"342","342","E14000871","Oldham West and Royton","28","49"," 7","11"," 3"," 0"," 0"," 2"
"343","343","E14000872","Orpington","59","17","20"," 0"," 4"," 0"," 0"," 0"
"344","344","E14000873","Oxford East","15","56","18"," 5"," 5"," 0"," 0"," 1"
"345","345","E14000874","Oxford West and Abingdon","36"," 7","54"," 3"," 0"," 0"," 0"," 0"
"346","346","E14000875","Pendle","54","36"," 6"," 0"," 2"," 0"," 0"," 2"
"347","347","E14000876","Penistone and Stocksbridge","43","34","11","12"," 0"," 0"," 0"," 0"
"348","348","E14000877","Penrith and The Border","57","22","15"," 0"," 4"," 0"," 0"," 2"
"349","349","E14000878","Peterborough","43","39"," 6"," 7"," 3"," 0"," 0"," 1"
"350","350","E14000879","Plymouth, Moor View","57","35"," 5"," 0"," 3"," 0"," 0"," 0"
"351","351","E14000880","Plymouth, Sutton and Devonport","40","45"," 5"," 6"," 3"," 0"," 0"," 0"
"352","352","E14000881","Poole","57","20","17"," 0"," 4"," 0"," 0"," 2"
"353","353","E14000882","Poplar and Limehouse","18","52","19"," 4"," 6"," 0"," 0"," 2"
"354","354","E14000883","Portsmouth North","59","26"," 9"," 0"," 4"," 0"," 0"," 2"
"355","355","E14000884","Portsmouth South","35","42","16"," 6"," 0"," 0"," 0"," 2"
"356","356","E14000885","Preston","25","55"," 7","10"," 4"," 0"," 0"," 0"
"357","357","E14000886","Pudsey","51","38"," 7"," 0"," 2"," 0"," 0"," 2"
"358","358","E14000887","Putney","38","34","23"," 0"," 4"," 0"," 0"," 0"
"359","359","E14000888","Rayleigh and Wickford","67","16","13"," 0"," 4"," 0"," 0"," 0"
"360","360","E14000889","Reading East","39","43","11"," 2"," 4"," 0"," 0"," 1"
"361","361","E14000890","Reading West","48","39","10"," 0"," 3"," 0"," 0"," 0"
"362","362","E14000891","Redcar","33","41"," 8","13"," 3"," 0"," 0"," 2"
"363","363","E14000892","Redditch","58","31"," 8"," 0"," 4"," 0"," 0"," 0"
"364","364","E14000893","Reigate","53","18","22"," 0"," 5"," 0"," 0"," 2"
"365","365","E14000894","Ribble Valley","58","25","11"," 0"," 4"," 0"," 0"," 2"
"366","366","E14000895","Richmond (Yorks)","60","17","15"," 0"," 5"," 0"," 0"," 3"
"367","367","E14000896","Richmond Park","39"," 6","53"," 0"," 0"," 0"," 0"," 1"
"368","368","E14000897","Rochdale","29","47"," 9","11"," 4"," 0"," 0"," 0"
"369","369","E14000898","Rochester and Strood","58","28"," 8"," 0"," 4"," 0"," 0"," 3"
"370","370","E14000899","Rochford and Southend East","57","31"," 9"," 0"," 0"," 0"," 0"," 4"
"371","371","E14000900","Romford","64","24"," 8"," 0"," 3"," 0"," 0"," 0"
"372","372","E14000901","Romsey and Southampton North","51","11","35"," 0"," 0"," 0"," 0"," 2"
"373","373","E14000902","Rossendale and Darwen","53","37"," 7"," 0"," 3"," 0"," 0"," 0"
"374","374","E14000903","Rother Valley","40","33"," 6","16"," 3"," 0"," 0"," 2"
"375","375","E14000904","Rotherham","29","43"," 7","19"," 0"," 0"," 0"," 3"
"376","376","E14000905","Rugby","54","33","10"," 0"," 3"," 0"," 0"," 0"
"377","377","E14000906","Ruislip, Northwood and Pinner","53","25","17"," 0"," 3"," 0"," 0"," 2"
"378","378","E14000907","Runnymede and Weybridge","55","18","20"," 0"," 5"," 0"," 0"," 3"
"379","379","E14000908","Rushcliffe","45","30","22"," 0"," 0"," 0"," 0"," 2"
"380","380","E14000909","Rutland and Melton","58","14","21"," 0"," 4"," 0"," 0"," 2"
"381","381","E14000910","Saffron Walden","59","13","25"," 0"," 3"," 0"," 0"," 0"
"382","382","E14000911","Salford and Eccles","27","50"," 7","11"," 5"," 0"," 0"," 0"
"383","383","E14000912","Salisbury","54","18","21"," 0"," 4"," 0"," 0"," 2"
"384","384","E14000913","Scarborough and Whitby","53","38"," 6"," 0"," 0"," 0"," 0"," 3"
"385","385","E14000914","Scunthorpe","42","40"," 6","10"," 2"," 0"," 0"," 0"
"386","386","E14000915","Sedgefield","40","41"," 5"," 9"," 3"," 0"," 0"," 1"
"387","387","E14000916","Sefton Central","31","51"," 8"," 7"," 2"," 0"," 0"," 1"
"388","388","E14000917","Selby and Ainsty","58","26","10"," 0"," 3"," 0"," 0"," 2"
"389","389","E14000918","Sevenoaks","58","14","21"," 0"," 4"," 0"," 0"," 3"
